Pipe created successfully
Pipe created successfully
God task created successfully
User Interaction task created successfully
Semaphore created successfully
Tower task started!
Tower task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Last instance period =    199 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    404 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    250 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    223 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    232 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    382 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    385 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    246 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    284 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    525 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    426 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    436 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    288 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    257 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    226 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    211 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    231 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    222 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    263 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    280 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    345 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    232 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    338 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    205 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    371 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    217 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    241 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    223 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    221 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    213 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    218 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    202 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    207 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    221 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    220 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    223 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    215 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    218 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    239 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    203 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    611 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    201 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    206 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    316 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    189 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    241 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    213 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    321 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    213 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    199 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    214 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    270 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    216 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    205 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    358 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    230 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    231 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    208 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    313 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    196 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    199 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    209 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    441 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    212 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    206 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    335 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    182 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    182 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    178 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    188 Maximum =    611 Minumum =    178 (us), Seconds: 
