Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     29 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     28 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     27 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     27 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     26 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     25 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     22 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     21 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     19 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     17 Maximum =     90 Minumum =      5 (us), Seconds: 
